,peak_time,amplitude,inter_event_interval,condition
124,14.3586,-51.250199272112184,0.09200000000000053,pre_drug
125,14.4506,-112.20571919146816,0.07489999999999952,pre_drug
126,14.5255,-64.71070678994205,0.11750000000000149,pre_drug
127,14.643,-37.270041092595065,0.04439999999999955,pre_drug
128,14.6874,-48.690742654430096,0.12849999999999895,pre_drug
129,14.8159,-96.41031108195564,0.15360000000000085,pre_drug
130,14.9695,-41.00657096997772,0.0409000000000006,pre_drug
131,15.0104,-68.47924962071602,0.19159999999999933,pre_drug
132,15.202,-84.28642372522833,0.13150000000000084,pre_drug
133,15.3335,-144.9627690189476,0.10029999999999895,pre_drug
134,15.4338,-54.536338215646595,0.09730000000000061,pre_drug
135,15.5311,-40.96472268067786,0.1355000000000004,pre_drug
136,15.6666,-38.58531123068613,0.07939999999999969,pre_drug
137,15.746,-101.86221891914852,0.08910000000000018,pre_drug
138,15.8351,-59.29845305232386,0.10879999999999868,pre_drug
139,15.9439,-87.49119813691317,0.06360000000000099,pre_drug
140,16.0075,-20.347416316814225,0.033200000000000784,pre_drug
141,16.0407,-102.71361511309334,0.08070000000000022,pre_drug
142,16.1214,-30.675575784648323,0.06400000000000006,pre_drug
143,16.1854,-24.483935367890396,0.05439999999999756,pre_drug
144,16.2398,-134.75397603698372,0.056400000000000006,pre_drug
145,16.2962,-59.06859043558283,0.11320000000000263,pre_drug
146,16.4094,-52.21087667907103,0.12289999999999779,pre_drug
147,16.5323,-40.019748363286126,0.05679999999999907,pre_drug
148,16.5891,-62.82603307323411,0.2214000000000027,pre_drug
149,16.8105,-62.106779126650196,0.1463000000000001,pre_drug
150,16.9568,-36.67261040584966,0.029999999999997584,pre_drug
151,16.9868,-30.336803146217935,0.12730000000000175,pre_drug
152,17.1141,-60.47849008466822,0.05369999999999919,pre_drug
153,17.1678,-47.43333133784258,0.165300000000002,pre_drug
154,17.3331,-73.37382029341875,0.10269999999999868,pre_drug
155,17.4358,-104.00705111683256,0.15929999999999822,pre_drug
156,17.5951,-23.386389020108332,0.15880000000000294,pre_drug
157,17.7539,-67.08023743882666,0.15719999999999956,pre_drug
158,17.9111,-70.9637980239972,0.3292999999999999,pre_drug
159,18.2404,-74.79653010122432,0.12049999999999983,pre_drug
160,18.3609,-70.08287299698964,0.11169999999999902,pre_drug
161,18.4726,-87.49860789251852,0.12170000000000059,pre_drug
162,18.5943,-31.554990425596454,0.14590000000000103,pre_drug
163,18.7402,-99.09964171131415,0.20689999999999742,pre_drug
164,18.9471,-54.0667647743828,0.0777000000000001,pre_drug
165,19.0248,-64.26668755885973,0.09800000000000253,pre_drug
166,19.1228,-51.677963746573916,0.06429999999999936,pre_drug
167,19.1871,-32.42682808294515,0.04969999999999786,pre_drug
168,19.2368,-48.56450189916271,0.08249999999999957,pre_drug
169,19.3193,-72.28687490728977,0.09880000000000067,pre_drug
170,19.4181,-56.61859444033569,0.10079999999999956,pre_drug
171,19.5189,-98.25399353783182,0.03410000000000224,pre_drug
172,19.553,-33.72852319924739,0.04100000000000037,pre_drug
173,19.594,-64.73390915843939,0.0995999999999988,pre_drug
174,19.6936,-78.03073537266398,0.09600000000000009,pre_drug
175,19.7896,-87.27448807556856,0.36850000000000094,pre_drug
176,20.1581,-41.114002181707136,0.044299999999999784,pre_drug
177,20.2024,-171.23939327068476,0.16569999999999752,pre_drug
178,20.3681,-95.2720103624765,0.09090000000000131,pre_drug
179,20.459,-26.64881743423843,0.15350000000000108,pre_drug
180,20.6125,-104.75297262669913,0.043199999999998795,pre_drug
181,20.6557,-45.41360030240968,0.06080000000000041,pre_drug
182,20.7165,-74.40294620664645,0.18070000000000164,pre_drug
183,20.8972,-72.04586781141646,0.27179999999999893,pre_drug
184,21.169,-73.91481874879403,0.031399999999997874,pre_drug
185,21.2004,-34.12917159513274,0.07540000000000191,pre_drug
186,21.2758,-74.19050000775327,0.10409999999999897,pre_drug
187,21.3799,-76.70188862262914,0.1355000000000004,pre_drug
188,21.5154,-31.441551354920318,0.048799999999999955,pre_drug
189,21.5642,-68.3687727421393,0.09830000000000183,pre_drug
190,21.6625,-57.605351645351874,0.12689999999999912,pre_drug
191,21.7894,-76.06395272393058,0.10060000000000002,pre_drug
192,21.89,-28.285886913666573,0.043499999999998096,pre_drug
193,21.9335,-48.35693263442686,0.0616000000000021,pre_drug
194,21.9951,-65.60087921030197,0.12749999999999773,pre_drug
